data	close
10-23-2011	4.08
10-23-2011	4.8
10-23-2011	4.58
10-23-2011	4.15
10-21-2011	4.7
10-21-2011	4.68
10-20-2011	4.68
10-20-2011	3.98
10-20-2011	4.15
10-20-2011	4.85
10-20-2011	4.58
10-19-2011	4.5
10-19-2011	4.66
10-19-2011	4.28
10-19-2011	4.1
10-19-2011	4.6
10-19-2011	4.38
10-18-2011	4.6
10-18-2011	4.7
10-18-2011	4.43
10-18-2011	4.53
10-18-2011	4.03
10-18-2011	4.65
10-16-2011	4.68
10-15-2011	4.35
10-14-2011	4.55
10-14-2011	4.76
10-14-2011	3.88
10-14-2011	4.0
10-14-2011	4.47
10-14-2011	4.78
10-14-2011	4.2
10-14-2011	4.38
10-14-2011	4.53
10-13-2011	4.95
10-13-2011	4.45
10-13-2011	4.47
10-12-2011	4.47
10-12-2011	4.63
10-12-2011	4.55
10-12-2011	4.63
10-11-2011	4.53
10-10-2011	4.75
10-10-2011	4.5
10-10-2011	4.97
10-08-2011	4.4
10-08-2011	4.9
10-08-2011	4.38
10-08-2011	4.7
10-08-2011	4.13
10-07-2011	4.68
10-07-2011	4.43
10-07-2011	3.76
10-06-2011	4.47
10-06-2011	4.5
10-06-2011	4.79
10-05-2011	4.47
